Case Type,Region,Case Number,Case Name,Status,Date Filed,Date Closed,Reason Closed,City,States & Territories,Employees on charge/petition,Allegations,Participants,Union,Unit Sought,Voters
C,"Region 03, Buffalo, New York",03-CA-312911,"Tesla, Inc.",Open,2/27/2023,,,Buffalo,NY,2000,"8(a)(1) Interrogation (including Polling)
8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(3) Changes in Terms and Conditions of Employment
8(a)(1) Coercive Actions (Surveillance, etc)
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave NW, Washington, DC, 20004-2541, (202)739-5817
Charged Party / Respondent, Legal Representative, Emery Lauren, Morgan, Lewis & Bockius LLP, 110 N Wacker Dr, Suite 2800, Chicago, IL, 60606-1511, (312)324-1147
Charging Party, Legal Representative, DOLCE MICHAEL, Hayes Dolce, 135 Delaware Ave, Ste 502, Buffalo, NY, 14202, (716)912-3480
Charged Party / Respondent, Additional Service, Buffalo, NY, 14220
Charged Party / Respondent, Employer, Tesla, Inc., Austin, TX, 78725
Charged Party / Respondent, Additional Service, Buffalo, NY, 14220
",,,
C,"Region 03, Buffalo, New York",03-CA-312449,"Tesla, Inc.",Open,2/21/2023,,,Buffalo,NY,2000,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Avenue, NW, Washington, DC, 20004-2541, (202)739-5817
Charged Party / Respondent, Legal Representative, Emery Lauren, Morgan, Lewis & Bockius LLP, 110 N Wacker Dr, Suite 2800, Chicago, IL, 60606-1511, (312)324-1147
Charging Party, Legal Representative, DOLCE MICHAEL, Hayes Dolce, 135 Delaware Ave, Ste 502, Buffalo, NY, 14202, (716)912-3480
Charged Party / Respondent, Additional Service, Buffalo, NY, 14220
Charged Party / Respondent, Additional Service, Buffalo, NY, 14220
Charged Party / Respondent, Employer, Tesla, Inc., Austin, TX, 78725
Charging Party, Union, Rochester Regional Joint Board, Workers United, Buffalo, NY, 14214
",,,
C,"Region 16, Fort Worth, Texas",16-CA-312704,"Tesla, Inc.",Open,2/17/2023,,,Austin,TX,10000,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius, LLP, 1111 Pennsylvania Avenue N.W., Washington, DC, 20004, (202)739-5817
Charged Party / Respondent, Legal Representative, MORTENSEN MICHAEL, Jackson Lewis PC, 1717 MAIN STREET, SUITE 3200, DALLAS, TX, 75201, (972)728-3284
Charged Party / Respondent, Employer, TESLA, INC., AUSTIN, TX, 78725
Charging Party, Individual
",,,
C,"Region 03, Buffalo, New York",03-CA-312362,"Tesla, Inc.",Open,2/17/2023,,,Buffalo,NY,2000,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius, LLP, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Avenue, NW, Washington, DC, 20004, (202)739-5817
Charging Party, Legal Representative, Hayes Ian, Hayes Dolce, 135 Delaware Ave., Ste 502, Buffalo, NY, 14202, (716)608-3427
Charged Party / Respondent, Legal Representative, Emery Lauren, Morgan, Lewis & Bockius LLP, 110 N Wacker Dr, Suite 2800, Chicago, IL, 60606-1511, (312)324-1147
Charged Party / Respondent, Additional Service, Buffalo, NY, 14220
Charged Party / Respondent, Additional Service, Buffalo, NY, 14220
Charged Party / Respondent, Employer, Tesla, Inc., Austin, TX, 78725
Charging Party, Union, Rochester Regional Joint Board, Workers United, Buffalo, NY, 14214
",,,
C,"Region 03, Buffalo, New York",03-CA-312352,"Tesla, Inc.",Open,2/17/2023,,,Buffalo,NY,2000,"8(a)(1) Coercive Rules
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius, LLP, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Avenue, NW, Washington, DC, 20004, (202)739-5817
Charging Party, Legal Representative, Hayes Ian, Hayes Dolce, 135 Delaware Avenue, Suite 502, Buffalo, NY, 14202, (716)854-0007
Charged Party / Respondent, Legal Representative, Emery Lauren, Morgan, Lewis & Bockius LLP, 110 N Wacker Dr, Suite 2800, Chicago, IL, 60606-1511, (312)324-1147
Charged Party / Respondent, Additional Service, Buffalo, NY, 14220
Charged Party / Respondent, Employer, Tesla, Inc., Austin, TX, 78725
Charging Party, Union
Charged Party / Respondent, Additional Service, Buffalo, NY, 14220
",,,
C,"Region 03, Buffalo, New York",03-CA-312373,"Tesla, Inc.",Open,2/17/2023,,,Buffalo,NY,2000,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius, LLP, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Avenue, NW, Washington, DC, 20004, (202)739-5817
Charging Party, Legal Representative, Hayes Ian, Hayes Dolce, 135 Delaware Avenue, Suite 502, Buffalo, NY, 14202, (716)608-3427
Charged Party / Respondent, Legal Representative, Emery Lauren, Morgan, Lewis & Bockius LLP, 110 N Wacker Dr, Suite 2800, Chicago, IL, 60606-1511, (312)324-1147
Charged Party / Respondent, Additional Service, Buffalo, NY, 14220
Charged Party / Respondent, Additional Service, Buffalo, NY, 14220
Charged Party / Respondent, Employer, Tesla, Inc., Austin, TX, 78725
Charging Party, Individual
",,,
C,"Region 03, Buffalo, New York",03-CA-312267,"Tesla, Inc.",Open,2/16/2023,,,Buffalo,NY,2000,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Avenue, NW, Washington, DC, 20004-2541, (202)739-5817
Charged Party / Respondent, Legal Representative, Emery Lauren, Morgan, Lewis & Bockius LLP, 110 N Wacker Dr, Suite 2800, Chicago, IL, 60606-1511, (312)324-1147
Charging Party, Legal Representative, Dolce Michael, Hayes Dolce, 135 Delaware Avenue, Suite 502, Buffalo, NY, 14202
Charged Party / Respondent, Additional Service, Buffalo, NY, 14220
Charged Party / Respondent, Additional Service, Buffalo, NY, 14220
Charging Party, Union, Rochester Regional Joint Board, Workers United, Buffalo, NY, 14214
Charged Party / Respondent, Employer, Tesla, Inc., Austin, TX, 78725
",,,
C,"Region 32, Oakland, California",32-CA-311595,"Tesla, Inc.",Open,2/2/2023,,,Palo Alto,CA,99000,"8(a)(1) Coercive Actions (Surveillance, etc)
","Charging Party, Legal Representative, Shaver Anne, Lieff Cabraser Heimann & Bernstein LLP, 275 Battery Street, 29th Floor, San Francisco, CA, 94000, (415)956-1000
Charged Party / Respondent, Legal Representative, MORTENSEN MICAHEL, MORGAN LEWIS, 1717 MAIN STREET, SUITE 3200, DALLAS, TX, 75201, (612)385-7777
Charged Party / Respondent, Legal Representative, Marks Richard, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave. NW, Washington, DC, 20004, (202)739-5470
Charged Party / Respondent, Employer, Tesla, Inc., Marietta, GA, 30066
Charging Party, Individual, Burgess Law Offices PC
",,,
C,"Region 32, Oakland, California",32-CA-309016,"Tesla, Inc.",Closed,12/15/2022,12/27/2022,Withdrawal Non-adjusted,Palo Alto,CA,99000,"8(a)(1) Coercive Rules
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave NW, Washington, DC, 20004-2541, (202)739-5817
Charging Party, Legal Representative, Burgess Laurie, Burgess Law Offices PC, 498 Utah Street, San Francisco, CA, 94110, (312)320-1718
Charged Party / Respondent, Legal Representative, MORTENSEN MICAHEL, MORGAN LEWIS, 1717 Main Street, Suite 3200, Dallas, TX,  75201, (612)385-7777
Charged Party / Respondent, Employer, Tesla, Inc., Palo Alto, CA, 94304-1317
Charging Party, Individual, Lieff Cabraser Heimann & Bernstein LLP
",,,
C,"Region 32, Oakland, California",32-CA-309010,"Tesla, Inc.",Closed,12/15/2022,12/27/2022,Withdrawal Non-adjusted,Palo Alto,CA,99000,"8(a)(1) Coercive Rules
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Broderdorf David, Morgan, Lewis & Bockius LLP, 1111 Pennsylvania Ave NW, Washington, DC, 20004-2541, (202)739-5817
Charging Party, Legal Representative, Burgess Laurie, Burgess Law Offices PC, 498 Utah Street, San Francisco, CA, 94110, (312)320-1718
Charged Party / Respondent, Legal Representative, MORTENSEN MICAHEL, MORGAN LEWIS, 1717 Main Street, Suite 3200, Dallas, TX,  75201, (612)385-7777
Charging Party, Individual, Lieff Cabraser Heimann & Bernstein LLP
Charged Party / Respondent, Employer, Tesla, Inc., Palo Alto, CA, 94304-1317
",,,
